state_abbrev,state_name,state_fips,total_schools,cep_schools,total_enrollment,cep_enrollment,cep_rate_school,cep_rate_student,poverty_rate_children,child_food_insec_rate,total_lunch_served,total_cash_payments,total_commodity_costs,school_age_pop_2024,lunches_per_school_age,cash_per_school_age,commodity_per_school_age,nslp_total_dollars_per_school_age,cash_per_lunch,commodity_per_lunch,total_dollars_per_lunch
RI,Rhode Island,44,143,120,62886.0,56457.0,0.8391608391608392,0.8977673886079572,13.4,0.1172591323484197,13279483.0,57765571.1175,3842565.08,152111,87.30126683803275,379.7593278428253,25.261585815621487,405.0209136584468,4.3499864503384655,0.2893610451551465,4.639347495493612
SC,South Carolina,45,1071,1006,663324.0,602988.0,0.9393090569561158,0.9090399261899162,19.1,0.0747795186697563,81082854.0,353820468.1275,18111299.29,856505,94.6671111085166,413.0979598805611,21.14558501117915,434.24354489174027,4.363690357119151,0.22336780708286366,4.587058164202015
SD,South Dakota,46,280,103,70401.0,15540.0,0.3678571428571429,0.2207355009161801,13.9,0.0826353307377556,17022057.0,70779609.955,3446623.11,163951,103.82405108843496,431.7119746448634,21.022275618934923,452.7342502637983,4.158111440644336,0.2024798242656572,4.360591264909993
TN,Tennessee,47,1667,1295,817674.0,571198.0,0.7768446310737852,0.6985644645665632,18.5,0.1202317223867319,107271636.0,459231807.5225,32361876.26,1166194,91.98438338732663,393.78680350138995,27.749993791770496,421.5367972931605,4.281018027193134,0.3016815764793594,4.582699603672493
TX,Texas,48,7417,4834,4399185.0,2720652.0,0.6517459889443171,0.6184445527978478,18.4,0.0990529243797416,569180000.0,2454720158.3275,207582834.66,5705741,99.75566714297057,430.21934545004757,36.381398079583356,466.6007435296309,4.3127308730586105,0.3647050751256193,4.67743594818423
UT,Utah,49,227,68,,,0.2995594713656387,,8.5,0.0505408774215631,57004290.0,238191800.6425,16057423.39,703737,81.00226362973667,338.46707028691117,22.8173641431387,361.2844344300499,4.178489033763951,0.28168798155366903,4.46017701531762
VA,Virginia,51,1500,1253,909698.0,711583.0,0.8353333333333334,0.7822189341957441,12.1,0.0978033456789494,126837006.0,549208731.48,25636028.61,1402516,90.43533621006819,391.58821110062206,18.27859975215969,409.8668108527817,4.330035443126118,0.2021178945993096,4.532153337725427
VT,Vermont,50,294,293,71478.0,71420.0,0.9965986394557824,0.9991885615154312,10.3,0.022869800904414,8444426.0,35606526.01,2405760.15,85208,99.10367571120082,417.87773460238475,28.233970401840203,446.1117050042249,4.216571500537751,0.284893271608988,4.501464772146739
WA,Washington,53,1886,1311,935685.0,602614.0,0.6951219512195121,0.6440351186563854,11.3,0.055144186954084,91429466.0,399476062.3525,18453974.96,1233534,74.11993994490626,323.84681926278483,14.960248327164068,338.8070675899489,4.369226681828154,0.20183837626263726,4.571065058090791
WI,Wisconsin,55,2063,686,723974.0,240832.0,0.3325254483761512,0.3326528300740082,12.4,0.1188826985994465,83683631.0,361982958.73,26234179.01,930232,89.95995730097438,389.13191411389846,28.201759356805617,417.33367347070407,4.325612481250963,0.3134923604115601,4.639104841662523
WV,West Virginia,54,632,626,242747.0,238455.0,0.990506329113924,0.9823190399881356,21.1,0.0500141860235986,27217998.0,119231034.705,6103486.41,261156,104.22122409594266,456.55100669714653,23.371036506915406,479.92204320406194,4.38059532170588,0.2242445021121686,4.604839823818049
WY,Wyoming,56,177,49,45080.87,9442.87,0.2768361581920904,0.2094651234548046,11.5,0.0767332999509918,8326269.0,35549008.73,2076282.4,96642,86.15580182529335,367.8422293619751,21.484265640197844,389.3264950021729,4.269500388469313,0.24936527993510657,4.518865668404419
